product_id,product_category_name,product_name_lenght,product_description_lenght,product_photos_qty,product_weight_g,product_length_cm,product_height_cm,product_width_cm
78119fbfa709d07b86f5ccf15043c6d6,cool_stuff,43,447,2,586,18,11,13
0a2fff0d95ef3bbb7dffc618f9542ba9,relogios_presentes,26,567,1,283,18,12,13
53b36df67ebb7c41585e8d54d6772e08,relogios_presentes,33,523,3,584,16,11,13
3225c54bb2785c33f49f50398fcdb88c,relogios_presentes,47,547,1,269,17,11,13
1cc7fc7841f9dacfbb9ec2a43276bf5f,relogios_presentes,50,309,1,350,18,9,14
41c24b8ce92d1a2cac62db5edfd088b2,relogios_presentes,27,178,1,314,18,11,14
7988cff50cb75e08e6b68640b19e55aa,relogios_presentes,42,176,1,576,20,13,17
69455f41626a745aea9ee9164cb9eafd,relogios_presentes,41,408,2,501,18,13,14
1b474c650cb9407d32a1e066937b68fd,relogios_presentes,43,548,3,381,18,12,15
2ffdf10e724b958c0f7ea69e97d32f64,relogios_presentes,59,582,1,263,17,12,13
052413504e5295cd66ec4ced0b310062,relogios_presentes,55,570,1,165,16,10,12
4f915391faab8ae23c234735d5080c31,relogios_presentes,46,410,1,401,17,11,14
541e61e8b040cedf91222bb991955748,relogios_presentes,48,111,1,316,17,11,12
e0d64dcfaa3b6db5c54ca298ae101d05,relogios_presentes,35,514,2,4338,17,12,14
7b35be468d9795a7529f65c50ec87668,relogios_presentes,35,765,3,4381,18,14,14
8fd57e95e8bf639d562620356071bc23,relogios_presentes,43,585,1,381,17,12,13
26abb7e42cded69ba9b3736643ebeb39,relogios_presentes,43,378,2,867,20,7,14
15d9c7e1411ece24a0053b1e876e4d4c,telefonia,56,856,1,289,17,9,18
d4548e7ab697993ec51d864766a8ea4f,relogios_presentes,43,632,2,532,19,13,15
703be52823d96209cb055709ac70e5a6,relogios_presentes,36,253,1,375,17,12,14
db5efde3ad0cc579b130d71c4b2db522,audio,40,232,1,6663,17,11,13
d04e48982547095af81c231c3d581cb6,relogios_presentes,56,528,2,292,18,10,15
7a10781637204d8d10485c71a6108a2e,relogios_presentes,42,236,1,342,18,13,15
73bcea88583002fe12b7399af4ae60da,relogios_presentes,42,631,2,459,18,13,14
4f288e27579d68e616d2712ad669f99e,cool_stuff,26,622,1,383,17,9,13
e6d3e381889aa6e9d222ad50cb30ac43,relogios_presentes,36,617,2,480,18,11,14
7961bed5641b99f02af87f81764f44bc,relogios_presentes,45,686,1,400,20,12,15
852b19e59727d554cf958607536d86d9,relogios_presentes,36,1517,1,417,18,12,14
7b951373f6045db69ff7a2e4d8c40071,relogios_presentes,46,232,1,184,18,10,13
461f43be3bdf8844e65b62d9ac2c7a5a,relogios_presentes,35,591,3,444,20,14,16
86ba3443f971ab0ff1381a973274f2a5,relogios_presentes,50,1034,1,300,18,13,16
cad39e71c0fe2f6ce875040d4ac43a4b,relogios_presentes,34,580,1,642,20,13,16
bce474cc95b6e77657e10939b0b4248c,relogios_presentes,51,638,1,310,16,10,12
d285360f29ac7fd97640bf0baef03de0,relogios_presentes,46,501,4,363,18,13,13
f819f0c84a64f02d3a5606ca95edd272,relogios_presentes,59,452,1,710,19,13,14
6f3b5b605d91b7439c5e3f5a8dffeea7,relogios_presentes,35,640,1,335,17,11,16
6f58bad9504178efd4b89d4cd920672a,relogios_presentes,37,312,1,350,20,11,17
d322eb25f02924adba73e58dbc36b29c,relogios_presentes,34,494,1,300,18,9,14
0a57f7d2c983bcf8188589a5fea4a8da,relogios_presentes,33,932,1,396,18,11,14
04120fb9b3f90600e5ae1f2a2cde53e3,relogios_presentes,50,704,1,500,23,13,16
8317b177579dd27ff068b83205e2169b,cool_stuff,43,465,1,400,18,12,14
91c82ace62e0ca1b69b1a45bcc214b45,relogios_presentes,60,992,1,308,16,11,12
24e8c79f39c68fbdbd57a5813ae72b94,relogios_presentes,22,852,1,225,19,12,15
14bc0f89b7126bb00dfa6432d85340de,relogios_presentes,30,156,1,550,20,10,16
bc74f63361c15c1a5baa5b97ac432e62,beleza_saude,42,500,1,4050,17,11,13
53ea9da485f6aed8a6f03a85831fe021,relogios_presentes,33,439,1,346,18,10,13
155663cd6bc8d7e90375c19f73136bab,relogios_presentes,37,238,1,250,20,11,17
