product_id,product_category_name,product_name_lenght,product_description_lenght,product_photos_qty,product_weight_g,product_length_cm,product_height_cm,product_width_cm
15b3d40f375c0645c1eed4ed1cd8e17a,fashion_bolsas_e_acessorios,30,401,3,150,16,11,11
062597771ee91356ea34084f28c03a4b,fashion_bolsas_e_acessorios,54,1399,1,300,16,2,11
eca26be90d3b3454dd69a13a05bdb46e,fashion_bolsas_e_acessorios,59,119,3,200,16,2,11
50571d0f0f8ffbeec1c64cefeec01135,fashion_bolsas_e_acessorios,58,526,5,350,43,16,27
63094ac128b54dd72d511043411df079,fashion_bolsas_e_acessorios,55,255,1,150,21,9,14
1906cb28cdc0781f04a95d4d3d0d980d,fashion_bolsas_e_acessorios,52,1359,1,300,16,2,11
7002de80666aef110fc6b91f41e111d5,fashion_bolsas_e_acessorios,23,433,3,150,16,10,13
bc4b1c6c831c93b87cd134c9089c657d,fashion_bolsas_e_acessorios,39,188,1,150,21,9,14
cbe91f0c23e32e2de40f57e30580dc24,fashion_bolsas_e_acessorios,54,719,2,250,16,2,11
3918bb60ff48662029ca9f1e1f7b9842,fashion_bolsas_e_acessorios,59,352,3,550,43,16,27
3c8e648d4adaad3ae92da5799093a8f3,fashion_bolsas_e_acessorios,59,749,2,200,16,2,11
daa7499d1e545811c843e8189cd30286,fashion_bolsas_e_acessorios,41,1359,1,250,16,2,11
627dc84ce949186519dbddc2f58fbdfc,fashion_bolsas_e_acessorios,30,401,3,200,16,11,11
1c1dda7d5b3d50618aadda35edc2acd6,fashion_bolsas_e_acessorios,46,1437,1,300,16,2,20
df5cc67b7f137007b9e4e82efe5f623b,fashion_bolsas_e_acessorios,48,731,1,250,16,2,11
97e778e5156560324ed3226e6dba3a5e,fashion_bolsas_e_acessorios,35,353,5,300,16,16,12
833b7baca432a26ccfc3e3eaa8271519,fashion_bolsas_e_acessorios,42,261,1,100,21,9,14
1d7db62a21ffb4f220d3e8a05fa77e02,fashion_bolsas_e_acessorios,22,328,3,100,16,13,11
591cf821695e4e2934a87e07122f7839,fashion_bolsas_e_acessorios,60,270,2,250,16,2,11
9f1fbbe90131eec1287c7ee32bb32a31,fashion_bolsas_e_acessorios,48,796,1,200,16,2,11
c55c10c2e37e534c37d1e6694612664c,fashion_bolsas_e_acessorios,54,356,3,550,43,16,27
b736ba4727efeae1f506172be7e39905,fashion_bolsas_e_acessorios,56,187,3,100,16,2,11
18af17f3ce7321c209d5ce9932248c4e,fashion_bolsas_e_acessorios,28,177,3,100,16,11,13
a337a861d9d1f1156c9d5d020618b2cb,fashion_bolsas_e_acessorios,27,458,4,150,16,12,16
e338f548cda0b52650b9acfd317a74db,fashion_bolsas_e_acessorios,40,444,4,150,16,5,20
a5a2b70ed811fc99be9a6ba5961b7f05,fashion_bolsas_e_acessorios,28,353,4,300,16,12,16
1928afdd082c046af569f70558516d11,fashion_bolsas_e_acessorios,59,236,1,100,21,9,14
d69b7880f262ed14de5f8149d2f0931d,fashion_bolsas_e_acessorios,53,1434,1,4600,16,2,11
e756f3f73af3c08dad566b84cf5c66d7,fashion_bolsas_e_acessorios,20,144,4,150,16,12,11
0df595995d2f55005a3de2b62ca97189,fashion_bolsas_e_acessorios,49,72,1,300,16,2,11
4e46d4d7bdbc358eee60e44df825dd01,fashion_bolsas_e_acessorios,34,142,1,150,21,9,14
e4e5cbc0077aa2c7aacbe435166df909,fashion_bolsas_e_acessorios,56,918,6,250,16,2,11
f8f93700c26007f74716eca57d217cfd,fashion_bolsas_e_acessorios,58,631,3,400,43,16,27
43f88c8353708451babf9bcdd1fda92a,fashion_bolsas_e_acessorios,46,419,4,200,16,5,11
f4a9b2ee7355882bd41e1bf5126cf56a,fashion_bolsas_e_acessorios,53,768,1,200,16,2,11
b9db2807a5ed576de4411c679bc8ec71,fashion_bolsas_e_acessorios,58,668,3,650,43,16,27
